# Argument List:
# Name = 8481_5fold_gene_score.txt
# peak file = ./fold/8481_tmp
# decay = 10000 bp
# genome = /project/dev/rongbin/xy/rp/hg38_refGene.bed
#chrom	txStart	txEnd	refseq	score	strand	symbol
chr5	160075881	160119449	NM_001267035.3	1.100	-	PWWP2A
chr5	160091338	160119449	NM_001349732.2	1.100	-	PWWP2A
chr5	160075881	160119449	NM_001349733.2	1.100	-	PWWP2A
chr5	160075881	160119449	NM_001349734.2	1.100	-	PWWP2A
chr5	160075881	160119449	NM_001349735.2	1.100	-	PWWP2A
chr5	160075881	160119449	NM_052927.4	1.100	-	PWWP2A
chr2	219206781	219209647	NM_138802.3	1.100	+	ZFAND2B
chr1	175073036	175147777	XM_017002049.1	1.100	+	TNN
chr22	22244785	22245514	NM_001303509.2	1.100	+	VPREB1
chr22	22244785	22245514	NM_007128.4	1.100	+	VPREB1
chr1	175073037	175147777	XM_017002048.1	1.100	+	TNN
chr9	79706825	79726742	XM_011518972.3	1.100	+	TLE4
chrX	118976331	119018354	NM_001289109.1	1.100	+	LONRF3
chr19	55132798	55149241	XM_011527246.3	1.100	-	TNNT1
chr19	54630410	54637555	NM_001081638.3	1.100	+	LILRB1
chr19	54630410	54637555	NM_001081639.3	1.100	+	LILRB1
chrX	53942614	54043146	NM_001184898.2	1.100	-	PHF8
chr5	35953088	36000998	XM_011513957.2	1.100	-	UGT3A1
chr3	111859826	111976516	NM_001134439.2	1.100	+	PHLDB2
chr1	151612121	151699079	XM_011510025.2	1.100	+	SNX27
chr1	151612121	151699079	XM_017002417.1	1.100	+	SNX27
chr9	79706829	79726742	XM_024447659.1	1.099	+	TLE4
chrX	49053571	49069853	NM_001271836.2	1.099	+	CCDC120
chr1	63523480	63553174	XM_017002548.1	1.099	+	EFCAB7
chr13	45393315	45418454	NM_001286806.1	1.099	-	SLC25A30
chr12	118136123	118145583	NM_002567.4	1.099	+	PEBP1
chr12	64452119	64502113	NM_013254.4	1.099	+	TBK1
chr2	27498759	27523688	XM_017003796.1	1.099	+	GCKR
chr16	69565965	69704653	NM_001113178.3	1.099	+	NFAT5
chr16	69565965	69704653	NM_001367709.1	1.099	+	NFAT5
chr16	69565965	69704653	NM_006599.4	1.099	+	NFAT5
chr16	69565965	69704653	NM_138713.4	1.099	+	NFAT5
chr16	69565965	69704653	NM_138714.4	1.099	+	NFAT5
chr16	69565965	69704653	NM_173214.3	1.099	+	NFAT5
chr16	69565965	69695702	NM_173215.3	1.099	+	NFAT5
chr16	69565965	69698900	XM_011522817.3	1.099	+	NFAT5
chr11	74012713	74171018	NM_001286577.1	1.099	-	C2CD3
chr1	63523341	63572692	XM_006710976.3	1.099	+	EFCAB7
chr16	24919388	25015358	XM_011545874.3	1.099	-	ARHGAP17
chr2	27199586	27212029	XM_006712129.1	1.099	-	SLC5A6
chr22	44026303	44169232	NM_001243386.1	1.099	+	PARVB
chr22	44026303	44169225	XM_005261596.1	1.099	+	PARVB
chr3	129430946	129439947	NM_001276270.2	1.099	-	MBD4
chr3	129430946	129439947	NM_001276272.2	1.099	-	MBD4
chr3	129430946	129439947	NM_003925.3	1.099	-	MBD4
chr10	97458323	97498763	XM_011540062.1	1.099	-	MMS19
chr4	152850642	152911911	XM_011531872.1	1.099	+	ARFIP1
chr2	55520143	55545078	XM_017003255.1	1.099	+	CFAP36
chr2	217799788	218002994	XM_024453079.1	1.099	-	TNS1
chr2	217799788	218002994	XM_024453083.1	1.099	-	TNS1
chr3	179701090	179784734	XM_017007427.1	1.099	+	USP13
chr19	362056	376692	XM_011528051.2	1.099	-	THEG
chr19	362056	376691	XM_011528049.2	1.099	-	THEG
chr9	104781006	104890288	XM_017014382.2	1.099	-	ABCA1
chr19	362056	376690	XM_011528050.2	1.099	-	THEG
chr19	371375	376690	XM_011528052.2	1.099	-	THEG
chr16	24919388	25015368	NM_001006634.3	1.099	-	ARHGAP17
chr16	24919388	25015368	NM_018054.6	1.099	-	ARHGAP17
chr2	171522232	171558128	NM_001256909.2	1.099	+	CYBRD1
chr16	2817253	2821714	XM_017022877.1	1.099	+	PRSS21
chr16	24919388	25015370	XM_011545873.3	1.099	-	ARHGAP17
chr16	24919388	25015370	XM_011545875.2	1.099	-	ARHGAP17
chr16	24919388	25015370	XM_011545876.2	1.099	-	ARHGAP17
chr16	24919388	25015370	XM_011545878.3	1.099	-	ARHGAP17
chr16	24919388	25015370	XM_017023390.1	1.099	-	ARHGAP17
chr19	362056	376688	XM_024451532.1	1.099	-	THEG
chr19	362056	376688	XM_024451533.1	1.099	-	THEG
chr18	9885972	9889274	NM_001098529.2	1.099	+	TXNDC2
chr18	9885972	9889274	NM_032243.6	1.099	+	TXNDC2
chr10	6427418	6522521	XM_024448076.1	1.099	-	PRKCQ
chr10	110898729	110919365	NM_001195304.1	1.099	-	BBIP1
chr10	110898729	110919365	NM_001195305.2	1.099	-	BBIP1
chr10	110898729	110919365	NM_001195307.1	1.099	-	BBIP1
chr10	110898729	110919365	NM_001243783.2	1.099	-	BBIP1
chr8	123851986	124120060	NM_001039112.2	1.099	+	FER1L6
chr10	5878086	5889896	NM_001009941.2	1.098	-	ANKRD16
chr10	5878086	5889896	NM_001009943.2	1.098	-	ANKRD16
chr8	143579727	143592967	XM_006716522.1	1.098	-	EEF1D
chr8	143579727	143592967	XM_017013172.1	1.098	-	EEF1D
chr8	143579727	143592967	XM_024447088.1	1.098	-	EEF1D
chr17	81932390	81937213	XM_024450849.1	1.098	-	PYCR1
chr8	48917597	48921428	NM_003068.5	1.098	-	SNAI2
chr17	1003518	1187271	NM_001159746.3	1.098	-	ABR
chrX	1392348	1396880	XM_011546186.1	1.098	+	LOC105373102
chr10	110919369	111013666	NM_001324336.1	1.098	+	SHOC2
chr11	74034441	74171001	NM_015531.6	1.098	-	C2CD3
chr10	5861615	5889892	NM_019046.3	1.098	-	ANKRD16
chr2	112542464	112579817	NM_001137604.3	1.098	+	POLR1B
chr2	112542464	112579817	NM_001282774.2	1.098	+	POLR1B
chr2	112542464	112579817	NM_001282776.2	1.098	+	POLR1B
chr2	112542464	112579817	NM_001282777.2	1.098	+	POLR1B
chr2	112542464	112579817	NM_001282779.2	1.098	+	POLR1B
chr2	112542464	112579817	NM_001371969.1	1.098	+	POLR1B
chr2	112542464	112579817	NM_001371970.1	1.098	+	POLR1B
chr2	112542464	112579817	NM_001371971.1	1.098	+	POLR1B
chr2	112542464	112579817	NM_019014.6	1.098	+	POLR1B
chr2	227325425	227357832	XM_024453009.1	1.098	+	MFF
chr3	130894589	131016711	NM_001001486.1	1.098	+	ATP2C1
chr3	130894589	131016711	NM_001001487.1	1.098	+	ATP2C1
chr1	245749341	246135686	XM_024449149.1	1.098	-	SMYD3
chr1	63450609	63523325	XM_024446041.1	1.098	-	ITGB3BP
chr5	35960755	36001021	NM_001171873.2	1.098	-	UGT3A1
chr17	81932390	81937232	XM_011523583.2	1.098	-	PYCR1
chr17	81932390	81937232	XM_011523585.2	1.098	-	PYCR1
chr15	78104648	78131265	XM_006720374.2	1.098	-	CIB2
chr19	55132697	55149205	NM_001126132.3	1.098	-	TNNT1
chr19	55132697	55149205	NM_001126133.3	1.098	-	TNNT1
chr19	55132697	55149205	NM_001291774.2	1.098	-	TNNT1
chr19	55132697	55149205	NM_003283.6	1.098	-	TNNT1
chr10	5890244	5937592	XM_017016843.1	1.098	+	FBH1
chr16	2817242	2821358	XM_017022876.1	1.098	+	PRSS21
chr16	2817242	2821701	XM_017022878.1	1.098	+	PRSS21
chr6	30070265	30075848	NM_170769.2	1.098	-	RNF39
chr5	43602674	43707395	NM_012343.4	1.098	+	NNT
chr14	49650118	49688213	NM_001197331.2	1.098	-	POLE2
chr14	49643554	49688213	NM_002692.4	1.098	-	POLE2
chr14	49654783	49688213	XM_011536844.1	1.098	-	POLE2
chr14	49646958	49688213	XM_017021374.1	1.098	-	POLE2
chr14	39267123	39351192	NM_001247989.1	1.098	+	MIA2
chr14	39267123	39351192	NM_001354138.1	1.098	+	MIA2
chr14	39267123	39351192	NM_001354143.1	1.098	+	MIA2
chr6	30070265	30075850	NM_025236.3	1.098	-	RNF39
chr14	49646958	49688212	XM_011536843.2	1.098	-	POLE2
chr6	3269358	3410642	XM_017011181.1	1.098	-	SLC22A23
chr1	63523320	63584336	XM_011542301.2	1.098	+	EFCAB7
chr16	2817238	2821718	XM_017022875.1	1.098	+	PRSS21
chr3	64093866	64268294	XM_011533436.3	1.098	-	PRICKLE2
chr2	157318630	157327711	NM_001009959.3	1.098	-	ERMN
chr17	59155354	59203963	XM_024450828.1	1.098	+	PRR11
chr16	11273198	11273628	NM_021247.3	1.098	-	PRM3
chr18	26454909	26549434	NM_001136205.2	1.098	-	KCTD1
chr18	26454909	26549434	NM_001351443.1	1.098	-	KCTD1
chr12	10604189	10613608	NM_001319985.1	1.098	-	MAGOHB
chr12	10604192	10613608	NM_018048.5	1.098	-	MAGOHB
chr12	10605109	10613608	XM_005253402.2	1.098	-	MAGOHB
chr16	2817236	2821718	NM_001270452.2	1.097	+	PRSS21
chr16	2817236	2821718	NM_006799.4	1.097	+	PRSS21
chr16	2817236	2821718	NM_144956.3	1.097	+	PRSS21
chr16	2817236	2821718	NM_144957.3	1.097	+	PRSS21
chr10	5890251	5937592	XM_024448240.1	1.097	+	FBH1
chr10	5890251	5937592	XM_024448241.1	1.097	+	FBH1
chr17	81932390	81937256	XM_011523584.3	1.097	-	PYCR1
chr1	15939932	15948496	XM_017002242.2	1.097	-	ZBTB17
chr19	53554612	53580268	NM_001317116.1	1.097	+	ZNF331
chr19	53554612	53580268	NM_001317118.1	1.097	+	ZNF331
chr22	39487223	39492193	NM_001098270.1	1.097	+	MGAT3
chr9	122264881	122331336	NM_001346339.2	1.097	+	MRRF
chr9	122264881	122331336	NM_001346341.2	1.097	+	MRRF
chr9	122264881	122331336	NM_001346343.2	1.097	+	MRRF
chr9	122264881	122331336	NM_001346345.2	1.097	+	MRRF
chr9	122264881	122331336	NM_001346347.2	1.097	+	MRRF
chr9	122264881	122331336	NM_138777.5	1.097	+	MRRF
chr9	122264881	122331336	NM_199177.4	1.097	+	MRRF
chr3	191329393	191398658	NM_174908.4	1.097	+	CCDC50
chr3	191329393	191398658	NM_178335.3	1.097	+	CCDC50
chrX	65512581	65534805	NM_001170649.1	1.097	-	LAS1L
chrX	65512581	65534805	NM_001170650.1	1.097	-	LAS1L
chrX	65512581	65534805	NM_031206.4	1.097	-	LAS1L
chr2	218143	264031	NM_015677.4	1.097	-	SH3YL1
chr6	30983717	30989902	NM_001010909.5	1.097	+	MUC21
chr17	81932390	81937265	XM_005256381.2	1.097	-	PYCR1
chr10	97458323	97498793	NM_001289405.1	1.097	-	MMS19
chr6	108295053	108526000	NM_001323005.2	1.097	+	AFG1L
chr6	108295053	108526000	NM_145315.5	1.097	+	AFG1L
chr1	63486568	63523516	XM_017000856.1	1.097	-	ITGB3BP
chr1	63440769	63523314	XM_017000855.2	1.097	-	ITGB3BP
chr7	130207859	130216843	NM_145268.4	1.097	+	SSMEM1
chr14	64486399	64503645	XM_006720251.3	1.097	-	ZBTB25
chr4	106315695	106349224	NM_004757.3	1.097	+	AIMP1
chr14	77535599	77616662	XM_011537384.2	1.097	-	SPTLC2
chr19	36544320	36605252	XM_017027043.1	1.097	-	ZNF529
chr7	141738606	141750487	NM_001256510.1	1.097	+	SSBP1
chr6	22287245	22302834	NM_001163558.3	1.097	-	PRL
chr1	35931613	36056469	XM_011540879.3	1.097	+	AGO3
chr1	81801392	81992250	XM_005270666.4	1.097	+	ADGRL2
chr19	45609395	45639399	XM_017026550.2	1.097	-	EML2
chr18	69853273	69956798	NM_001303619.2	1.097	-	CD226
chr18	69853273	69956798	NM_006566.4	1.097	-	CD226
chr1	81801391	81992250	XM_006710485.3	1.097	+	ADGRL2
chr16	20933110	21151074	XM_011545882.2	1.097	-	DNAH3
chr16	20933110	21151074	XM_017023426.1	1.097	-	DNAH3
chr16	20933110	21151074	XM_017023427.1	1.097	-	DNAH3
chr16	20933110	21151074	XM_017023428.1	1.097	-	DNAH3
chr7	5214268	5233854	NM_001033520.1	1.097	+	WIPI2
chr1	63523524	63572692	NM_032437.4	1.097	+	EFCAB7
chr19	45609399	45639396	NM_001352051.2	1.097	-	EML2
chr19	45609399	45639396	NM_001352054.2	1.097	-	EML2
chr19	45609399	45639396	NM_012155.4	1.097	-	EML2
chr16	20941455	21151075	XM_011545885.3	1.097	-	DNAH3
chr16	20986502	21151075	XM_017023429.1	1.097	-	DNAH3
chr16	21019150	21151075	XM_017023431.1	1.097	-	DNAH3
chr19	36543612	36605256	NM_001145649.2	1.097	-	ZNF529
chr19	36543612	36605256	NM_001145650.2	1.097	-	ZNF529
chr5	160091338	160119399	XM_017009010.1	1.097	-	PWWP2A
chr5	160075877	160119399	XM_024454353.1	1.097	-	PWWP2A
chr5	160075877	160119399	XM_024454354.1	1.097	-	PWWP2A
chr19	52859490	52894150	XM_024451396.1	1.097	-	ZNF320
chr19	52863844	52894150	XM_024451398.1	1.097	-	ZNF320
chr19	52866392	52894150	XM_024451399.1	1.097	-	ZNF320
chr14	60091910	60134813	NM_022495.5	1.097	+	PCNX4
chr19	37145539	37172435	NM_199126.3	1.097	-	ZNF585A
chr19	39156665	39179403	XM_011526317.2	1.097	+	PAK4
chr17	81932390	81937299	NM_001282279.2	1.097	-	PYCR1
chr17	81932390	81937299	NM_001282281.2	1.097	-	PYCR1
chr17	81932390	81937299	NM_006907.4	1.097	-	PYCR1
chr17	81932390	81937299	NM_153824.3	1.097	-	PYCR1
chrX	11111331	11123085	NM_001122608.3	1.097	+	HCCS
chrX	11111331	11123085	NM_001171991.3	1.097	+	HCCS
chrX	11111331	11123085	NM_005333.5	1.097	+	HCCS
chr11	45146808	45235113	XM_011520223.2	1.096	+	PRDM11
chr6	36968140	36987170	XM_005248978.2	1.096	-	MTCH1
chr6	36969171	36987170	XM_005248979.2	1.096	-	MTCH1
chr5	36876768	37065818	NM_015384.5	1.096	+	NIPBL
chr5	36876768	37066412	NM_133433.4	1.096	+	NIPBL
chr12	52360005	52364621	NM_001300810.1	1.096	-	KRT85
chr14	64486399	64503635	XM_017021638.2	1.096	-	ZBTB25
chr5	36876769	37065503	XM_005248280.3	1.096	+	NIPBL
chr5	36876769	37065818	XM_006714467.2	1.096	+	NIPBL
chr5	36876769	37065503	XM_006714468.2	1.096	+	NIPBL
chr5	36876769	37060925	XM_011514015.1	1.096	+	NIPBL
chr5	36876769	37065232	XM_017009329.1	1.096	+	NIPBL
chr5	36876769	37065503	XM_017009331.1	1.096	+	NIPBL
chr19	39156668	39179403	XM_024451314.1	1.096	+	PAK4
chr8	101686544	102125080	XM_024447296.1	1.096	-	NCALD
chr5	180988845	181006726	NM_197975.3	1.096	+	BTNL3
chr15	65642878	65656259	NM_001254740.2	1.096	+	SLC24A1
chrX	68498781	68537284	NM_001195214.1	1.096	+	YIPF6
chr12	25503737	25553320	XM_011520584.2	1.096	-	LMNTD1
chr5	128965126	129033641	NM_001317984.1	1.096	+	SLC27A6
chr5	128965126	129033641	NM_014031.4	1.096	+	SLC27A6
chr14	64449105	64503631	XM_006720250.4	1.096	-	ZBTB25
chr14	64487070	64503631	XM_011537141.3	1.096	-	ZBTB25
chr3	19148509	19535641	NM_144633.3	1.096	+	KCNH8
chr19	36544320	36605264	XM_017027042.1	1.096	-	ZNF529
chr14	64486399	64503630	XM_017021630.2	1.096	-	ZBTB25
chr20	844642	846276	NM_031424.6	1.096	+	FAM110A
chr6	108295069	108525782	XM_017010647.2	1.096	+	AFG1L
chr15	52192317	52275717	XM_017022409.2	1.096	-	MYO5C
chr22	23145468	23165649	XM_017029107.1	1.096	+	RAB36
chr8	38163338	38176492	NM_014462.3	1.096	-	LSM1
chr17	81932383	81937327	NM_001282280.1	1.096	-	PYCR1
chr17	81932383	81937327	NM_001330523.1	1.096	-	PYCR1
chrX	11111343	11123077	XM_024452368.1	1.096	+	HCCS
chr19	41837073	41839664	XM_011526484.2	1.096	-	LYPD4
chr14	60091922	60148220	NM_001330177.2	1.096	+	PCNX4
chr5	35953088	36001054	XM_011513959.2	1.096	-	UGT3A1
chr9	122237621	122264839	NM_033117.4	1.096	-	RBM18
chr8	101686544	102125058	XM_024447297.1	1.096	-	NCALD
chr2	232869107	232878703	XM_024452882.1	1.096	+	SNORC
chr14	39267072	39350647	XM_017021319.1	1.096	+	MIA2
chr11	74012717	74170956	XM_017017512.1	1.095	-	C2CD3
chr14	39267071	39350647	XM_017021314.1	1.095	+	MIA2
chr4	107989713	108035174	NM_001184705.2	1.095	+	HADH
chr19	37371160	37393065	XM_005259329.4	1.095	+	ZNF527
chr2	227325473	227357832	XM_011511500.1	1.095	+	MFF
chr19	21397132	21427576	NM_001076678.3	1.095	+	ZNF493
chr19	21397132	21408803	NM_145326.3	1.095	+	ZNF493
chr19	21397132	21427576	NM_175910.7	1.095	+	ZNF493
chrX	46837042	46882357	NM_006915.3	1.095	+	RP2
chr11	45146853	45235113	XM_011520225.2	1.095	+	PRDM11
chr10	92452246	92541393	XM_017016187.1	1.095	-	IDE
chr10	5890285	5937592	XM_017016846.2	1.095	+	FBH1
chr7	25118655	25125259	NM_018947.6	1.095	-	CYCS
chrX	65512581	65534777	XM_005262301.2	1.095	-	LAS1L
chrX	65520428	65534777	XM_005262304.2	1.095	-	LAS1L
chrX	65520428	65534777	XM_005262305.4	1.095	-	LAS1L
chrX	65520428	65534777	XM_005262306.4	1.095	-	LAS1L
chrX	65520428	65534777	XM_011531046.2	1.095	-	LAS1L
chrX	65512581	65534777	XM_017029877.2	1.095	-	LAS1L
chrX	65520428	65534777	XM_017029878.2	1.095	-	LAS1L
chrX	65512581	65534777	XM_017029879.2	1.095	-	LAS1L
chrX	65512581	65534777	XM_017029880.2	1.095	-	LAS1L
chr9	122264911	122325173	XM_011519185.3	1.095	+	MRRF
chr9	122264911	122325173	XM_017015286.2	1.095	+	MRRF
chr4	119296418	119304444	NM_001170330.1	1.095	-	C4orf3
chr9	122239554	122264829	XM_006717319.1	1.095	-	RBM18
chr19	38433690	38587563	NM_000540.3	1.095	+	RYR1
chr19	38433690	38587563	NM_001042723.2	1.095	+	RYR1
chr5	43486700	43515432	XM_017009445.1	1.095	-	C5orf34
chr5	43486700	43515432	XM_017009446.1	1.095	-	C5orf34
chr20	257723	261095	NM_207469.3	1.095	+	DEFB132
chr16	66477358	66482841	XM_011522885.3	1.095	+	BEAN1
chr19	5623080	5668477	XM_017027114.1	1.095	+	SAFB
chr19	5623080	5668477	XM_017027115.1	1.095	+	SAFB
chr15	32810608	33194764	XM_011521505.2	1.095	-	FMN1
chr15	32765543	33194764	XM_011521506.3	1.095	-	FMN1
chr15	32877306	33194764	XM_011521507.2	1.095	-	FMN1
chr15	32836900	33194764	XM_017022131.1	1.095	-	FMN1
chr19	5623082	5668477	NM_001201338.2	1.095	+	SAFB
chr19	5623082	5668477	NM_001201339.2	1.095	+	SAFB
chr19	5623082	5668477	NM_001201340.2	1.095	+	SAFB
chr19	5623082	5668477	NM_001320571.2	1.095	+	SAFB
chr19	5623082	5668477	NM_001320572.2	1.095	+	SAFB
chr19	5623082	5668477	NM_002967.4	1.095	+	SAFB
chr14	64504573	64524950	NM_001123329.1	1.095	+	ZBTB1
chr12	50768057	50821161	XM_017019332.1	1.095	+	ATF1
chr17	37407224	37477120	NM_001488.4	1.095	+	TADA2A
chr17	59109856	59155185	NM_001100595.2	1.095	-	SKA2
chr17	59109856	59155185	NM_001330399.2	1.095	-	SKA2
chr17	59109856	59155185	NM_182620.4	1.095	-	SKA2
chr17	37407223	37465654	NM_133439.4	1.095	+	TADA2A
chr15	32765543	33194761	XM_011521509.3	1.095	-	FMN1
chr15	32765543	33194761	XM_017022133.2	1.095	-	FMN1
chr15	32765543	33194761	XM_017022135.2	1.095	-	FMN1
chr9	113501426	113597742	NM_001276261.1	1.095	+	RGS3
chr9	113501426	113542090	NM_001322214.1	1.095	+	RGS3
chr3	19148541	19534787	XM_017005698.2	1.095	+	KCNH8
chr3	19148541	19534787	XM_017005700.2	1.095	+	KCNH8
chr3	19148541	19534787	XM_024453341.1	1.095	+	KCNH8
chr3	19148541	19534787	XM_024453342.1	1.095	+	KCNH8
chr2	1548528	1556487	XM_017005455.1	1.094	+	LOC102723730
chr11	125625423	125676255	NM_001330427.1	1.094	+	CHEK1
chr1	99850974	99924022	NM_000646.2	1.094	+	AGL
chr2	183123527	183161679	XM_017003308.1	1.094	+	NUP35
chr19	13884579	13906088	XM_011528286.2	1.094	-	C19orf57
chr13	113964101	113975025	XM_006719995.3	1.094	-	C13orf46
chr13	113956425	113975025	XM_011534858.2	1.094	-	C13orf46
chr13	113956425	113975025	XM_011534859.2	1.094	-	C13orf46
chr13	113956425	113975025	XM_011534860.2	1.094	-	C13orf46
chr22	50568860	50578016	NM_001145137.2	1.094	-	CPT1B
chr12	111362575	111365555	XM_011537976.2	1.094	-	PHETA1
chr12	64452189	64502113	XM_005268809.1	1.094	+	TBK1
chr11	104942865	104968595	XM_011543019.1	1.094	-	CASP4
chr10	13317427	13348056	XM_017015944.2	1.094	-	SEPHS1
chr2	70209443	70248758	XM_024453064.1	1.094	-	TIA1
chr19	13884579	13906092	XM_011528287.2	1.094	-	C19orf57
chr15	72116613	72143687	XM_011521215.2	1.094	+	SENP8
chr1	63440769	63523272	NM_001206739.1	1.094	-	ITGB3BP
chr1	63440769	63523272	NM_001347145.1	1.094	-	ITGB3BP
chr1	63449457	63523272	NM_001347147.1	1.094	-	ITGB3BP
chr1	63440769	63523272	NM_001347148.1	1.094	-	ITGB3BP
chr1	63440769	63523272	NM_014288.4	1.094	-	ITGB3BP
chr4	128811730	128875223	XM_024454218.1	1.094	+	JADE1
chr7	102748951	102809224	NM_001145269.1	1.094	+	FAM185A
chr7	102748951	102809224	NM_001350987.1	1.094	+	FAM185A
chr15	49858237	50010916	XM_017022596.1	1.094	-	ATP8B4
chr3	19148553	19534787	XM_017005699.1	1.094	+	KCNH8
chr3	19148553	19534787	XM_017005702.1	1.094	+	KCNH8
chr1	11785729	11803676	NM_001330358.1	1.094	-	MTHFR
chr4	128811733	128875223	XM_024454220.1	1.094	+	JADE1
chr19	13884579	13906095	XM_024451717.1	1.094	-	C19orf57
chr16	67680435	67719315	NM_001243650.2	1.094	-	GFOD2
chr16	67674535	67719315	NM_030819.4	1.094	-	GFOD2
chr12	51061204	51082980	XM_006719621.3	1.094	-	CSRNP2
chr12	51061204	51082980	XM_024449210.1	1.094	-	CSRNP2
chr1	2184459	2187349	XM_017000555.2	1.094	-	FAAP20
chr1	2184459	2187349	XM_017000556.2	1.094	-	FAAP20
chr9	94726698	94933672	NM_001193331.3	1.094	+	AOPEP
chr8	65602455	65634216	NM_001286702.1	1.094	-	ARMC1
chrX	65512581	65534755	XM_011531045.2	1.094	-	LAS1L
chr9	122264933	122323463	XM_011519183.2	1.094	+	MRRF
chr1	147647365	147669794	XM_024447500.1	1.093	-	ACP6
chr7	151556113	151632617	NM_001304531.1	1.093	-	PRKAG2
chr6	1623805	2245604	NM_001500.4	1.093	-	GMDS
chr6	1903060	2245604	XM_006715066.3	1.093	-	GMDS
chr6	1690472	2245604	XM_011514502.3	1.093	-	GMDS
chr6	1951286	2245604	XM_011514503.3	1.093	-	GMDS
chr6	1949067	2245604	XM_011514505.2	1.093	-	GMDS
chr6	1949039	2245604	XM_011514506.2	1.093	-	GMDS
chr6	1742473	2245604	XM_011514507.2	1.093	-	GMDS
chr17	37407204	37479724	XM_011525154.2	1.093	+	TADA2A
chr20	50889047	50919254	XM_011528747.2	1.093	-	ADNP
chr12	25476081	25553282	NM_001145728.2	1.093	-	LMNTD1
chr12	25499851	25553282	NM_001145729.1	1.093	-	LMNTD1
chr12	25476081	25553282	NM_001256266.1	1.093	-	LMNTD1
chr12	25476081	25553282	NM_152590.3	1.093	-	LMNTD1
chr2	3389821	3479570	XM_011510355.2	1.093	+	TRAPPC12
chr17	36591845	36600803	XM_011525233.2	1.093	+	DHRS11
chr11	116748169	116772997	NM_001159736.1	1.093	-	BUD13
chr6	111660760	111793885	XM_017010650.1	1.093	-	FYN
chr1	245016881	245090438	XM_017002544.1	1.093	+	EFCAB2
chr19	57191499	57222845	NM_003417.5	1.093	+	ZNF264
chr19	57191499	57216790	XM_011527522.2	1.093	+	ZNF264
chr1	40620679	40665681	NM_014747.3	1.093	-	RIMS3
chr5	78777208	78986086	XM_011543390.1	1.093	-	ARSB
chr19	4012922	4039385	XM_017026868.1	1.093	+	PIAS4
chr10	49515104	49539537	NM_001277059.1	1.093	-	ERCC6
chr7	155802873	155811813	XM_011516479.2	1.093	-	SHH
chr7	155802873	155811813	XM_011516480.2	1.093	-	SHH
chr11	523935	554915	XM_017017168.1	1.093	+	LRRC56
chr3	149030126	149086553	NM_001318934.1	1.093	-	HLTF
chr11	43358919	43494930	NM_018259.6	1.093	+	TTC17
chr2	70209443	70248776	XM_024453067.1	1.093	-	TIA1
chr19	45675043	45683721	XM_017026586.1	1.093	+	GIPR
chr14	64486399	64504602	XM_006720252.4	1.093	-	ZBTB25
chr11	125626223	125657153	NM_001330428.1	1.093	+	CHEK1
chr11	125626223	125657142	XM_024448337.1	1.093	+	CHEK1
chr8	78721199	78805093	XM_011517522.3	1.093	-	IL7
chr6	89364634	89411535	XM_011536022.2	1.093	-	RRAGD
chr9	34252032	34329384	XM_017014698.2	1.093	-	KIF24
chr9	34252032	34329384	XM_024447533.1	1.093	-	KIF24
chr12	92772508	92905590	XM_011538815.2	1.093	-	EEA1
chr3	19148577	19534787	XM_017005701.2	1.093	+	KCNH8
chr11	104942865	104968573	NM_001225.4	1.093	-	CASP4
chr11	104942865	104968573	NM_033306.3	1.093	-	CASP4
chr12	10618922	10674317	XM_005253417.2	1.093	-	STYK1
chr3	100492618	100577443	NM_001363876.2	1.093	+	TMEM45A
chr3	100492618	100577443	NM_018004.3	1.093	+	TMEM45A
chr12	29149277	29335615	NM_001271783.2	1.093	+	FAR2
chr7	149764181	149774777	XM_017011799.2	1.093	-	ZNF467
chr7	110833994	111562530	XM_017012700.1	1.093	-	IMMP2L
chr7	110833994	111562530	XM_017012702.1	1.093	-	IMMP2L
chr7	110662644	111562530	XM_024446956.1	1.093	-	IMMP2L
chr11	64590809	64602352	NM_001276327.1	1.093	+	SLC22A12
chr15	43185205	43195192	XM_006720448.2	1.093	+	CCNDBP1
chr7	149764181	149774776	XM_011515857.3	1.093	-	ZNF467
chr15	89209868	89221578	NM_000326.5	1.093	-	RLBP1
chr11	116748172	116772986	NM_032725.4	1.093	-	BUD13
chr19	3052909	3063106	XM_006722664.1	1.093	-	TLE5
chr19	36605312	36634113	NM_001256838.2	1.093	+	ZNF382
chr19	36605312	36634113	NM_032825.5	1.093	+	ZNF382
chr5	109689365	109869624	NM_002372.3	1.092	+	MAN2A1
chr16	56429132	56451331	NM_007006.3	1.092	-	NUDT21
chr19	13882347	13906116	NM_001345846.2	1.092	-	C19orf57
chr19	13882347	13906116	NM_001345847.2	1.092	-	C19orf57
chr19	13882347	13906116	NM_024323.5	1.092	-	C19orf57
chr19	57681976	57690647	NM_001270938.2	1.092	+	ZNF551
chr19	57681976	57690647	NM_138347.5	1.092	+	ZNF551
chr12	109742111	109770508	XM_006719654.2	1.092	+	FAM222A
chr13	71542241	71868067	XM_011534940.2	1.092	-	DACH1
chr13	71622962	71868067	XM_011534941.2	1.092	-	DACH1
chr4	106315609	106349224	NM_001142415.1	1.092	+	AIMP1
chr5	132822140	132827404	XM_005271885.4	1.092	-	SHROOM1
chr5	132823989	132827404	XM_006714534.3	1.092	-	SHROOM1
chr5	132823449	132827404	XM_024454367.1	1.092	-	SHROOM1
